     1	WORD
     2	GENDER
     3	LEMMA SYNONYM
     4	INFLECTION
     5	WORD CLASS
     6	BASIC FORM
     7	TRANSLATION NUMBER
     8	RESTRICTION
     9	SCIENTIFIC NAME
    10	SAAMI
    11	SAAMI TRANSLATION CASE OR FORM
    12	WORD CLASS
    13	EXPLANATION
    14	TRANSLATION SYNONYM1
    15	TRANSLATION SYNONYM2
    16	TRANSLATION SYNONYM3
    17	TRANSLATION SYNONYM4
    18	TRANSLATION SYNONIM 5
    19	TRANSLATION SYNONIM 6
    20	SPANISH_EX_1
    21	SAAMI_EX_1
    22	SPANISH_EX_2
    23	SAAMI_EX_2
    24	SPANISH_EX_3
    25	SAAMI_EX_3
    26	SPANISH_EX_4
    27	SAAMI_EX_4
    28	SPANISH_EX_5
    29	SAAMI_EX_5
    30	SPANISH_EX_6
    31	SAAMI_EX_6
    32	SPANISH_EX_7
    33	SAAMI_EX_7
