     1	WORD
     2	GENDER
     3	LEMMA_SYNONYM
     4	INFLECTION
     5	WORD_CLASS
     6	BASIC_FORM
     7	TRANSLATION_NUMBER
     8	RESTRICTION
     9	SCIENTIFIC_NAME
    10	SAAMI
    11	SAAMI_TRANSLATION_CASE_OR_FORM
    12	WORD_CLASS
    13	EXPLANATION
    14	TRANSLATION_SYNONYM1
    15	TRANSLATION_SYNONYM2
    16	TRANSLATION_SYNONYM3
    17	TRANSLATION_SYNONYM4
    18	TRANSLATION_SYNONIM_5
    19	TRANSLATION_SYNONIM_6
    20	SPANISH_EX_1
    21	SAAMI_EX_1
    22	SPANISH_EX_2
    23	SAAMI_EX_2
    24	SPANISH_EX_3
    25	SAAMI_EX_3
    26	SPANISH_EX_4
    27	SAAMI_EX_4
    28	SPANISH_EX_5
    29	SAAMI_EX_5
    30	SPANISH_EX_6
    31	SAAMI_EX_6
    32	SPANISH_EX_7
    33	SAAMI_EX_7
